,sarcasm_label,text
643,1,thats cute his dad makes him rich and he files bankruptcy a few times and you think that makes him smart very cute
653,1,lil wayne got dressed in the dark #cfpnationalchampionship
655,1,whos a better actor tom hanks or buzz aldrin #nasa
659,1,so they should just run it every play then right
663,1,gotta love people who follow you and unfollow because you dont follow them within in an hour or sorry i dont stay on twitter 7
667,1,#glastonbury not sure about estalented but could be listening to one of his albums plenty of backing track action going on
671,1,i can hear my mum bitching about me from the kitchen i love my liiife
674,1,i am shocked that police would gun an innocent black man down in broad daylight by firing at him while he runs away shocked
684,1,good job liverpool signed vvd to sort out their defence isnt it
688,1,#qricketlive i could not live without ketchup
694,1,ive never been so happy to be doing exams a day i got to leave a whole hour early and theres no interventions
697,1,of course my train is minutes late and the train on the opposite platform is minutes early so predictable
700,1,today gives some hope for a decent summer #bbeeaaauuuttiffuuuuuul
704,1,id rather eat glass than revise right now
716,1,so uhh is there anywhere i can cop the flamin hot powder cuz id put that shit on everything
725,1,mastered driving in my pyjamas without breaking down yay
728,1,told my dad i didnt want to do anything too mental being weeks postop yknow km mountain biking trip thanks paw #outdoordad
734,1,but apparently everyone who voted leave knew exactly what they were voting for 
738,1,but she might get to main event the biggest ppv of the year poor becky
741,1,new to twitter looking forward to seeing what the fuss is about
760,1,and not a single insect was killed or if there was it doesnt matter because theyre icky and you know gross
770,1,so theyre just gonna hog all the awards ok alright
777,1,a big well done to the dick that pulled out on me this evening on the fortwilliam roundabout #shitdriver #whatadick
784,1,i could throw a running vibrator on my keyboard and compose more legible messages than some of the drivel ive seen from you
788,1,i do enjoy working hours every friday saturday and sunday and never having a social life thanks for asking 
810,1,is it october yet #missingsupernatural #needmyjensenfix #rollonseason14
814,1,exciting phd opportunity #field study
818,1,in case you were wondering what i got for my birthday today tonsilitis i got tonsilitis
820,1,i love it when i want to do some editing and my editing suite needs updating again
834,1,i never knew it was so bright outside at in the morning
836,1,been at work for minutes and im already pissed off happy new year
850,1,is it even christmas if there isnt a fight with neighbours and a broken wrist
855,1,so i see the uk continues to be strong and stable
864,1,love getting locked out of my account
870,1,isnt it lovely when somebody tries to ruin your whole day and mood even before am
873,1,backed up the sink so thats a good start to saturday
879,1,i cant believe the new spiderman trailer spoiled end game i really thought marvel went to all that trouble to bring spidey into the mcu to just kill him off after one movie
882,1,dear debenhams if the packaging says alarm clock i assume the clock has an alarm sincerely i wasted a tube fare returning that shit
886,1,you might need a drop of tonic with that
889,1,#dearcustomer thanks mins before closing timewaster it is not like i had tons of new freight to put away so that can get out on time tonight cuz i #clopen
893,1,run for the hills mark o2 have literally no data coverage in urban areas with a population of five people or more
903,1,probably the best way of eating ones own though
906,1,wish one of the many people dressed as killers were actually one n killed me
912,1,gosh writing research proposals are fun arent they
916,1,the most interesting thing ive learned during my msc is that molecular biology research is labelling things #science #microbiology
921,1,time to play that fun game where i try and sleep for hours before managing to get hours interupted sleep before i have to get up again
930,1,think i might have frostbite
933,1,i am shocked
936,1,great so i have to spend all day with screaming little kids and i actually have to be nice to them #notgoodwithchildren
940,1,literally all five of us at home have had a horrible cold but of course dad has it the worst and we dont understand how ill he feels
943,1,wonderful getting an expensive box with meals i cant eat yay #hellofresh
951,1,teresa may just sat in parliament like the puppet she is while damian green took over have the tories shut her up
957,1,im doing the unthinkable and using python its a sad day for java i know but really python elif was writing elseif too much fuss
960,1,paul ince probably believes he could win the league with huddersfield
963,1,yikes love being mildly threatened by customers makes my pm finish every day feel so much safer
975,1,great to see another male billionaire making bodily autonomy that bit more difficult for millions of normal women good job
979,1,absolutely love confirming collaborations with brands for them to just stop replying to all emails afterwards
985,1,theresa may may not be trumps poodle but is her bark worse that her bite
990,1,i thought id be clever and take a shortcut home predictably i now have no idea where i am and appear to be in a mad max style wasteland
995,1,interesting how many people actually bother with you when you stop pouring unrequited energy into friendships messaging first
998,1,tis the season to be poorly falalalalala #christmas #illness
1001,1,thanku to zens for kicking me out on xmas eve
1004,1,appalled that fake news hid the existance of this country for so long trump names sarah palin ambassador to nambia
1007,1,just enjoyed a chicken and hair supreme thanks
1010,1,as a blackburn fan i would have loved to seen a legend like manage blackburn rovers
1013,1,me so what are you in for prisoner murder what about you me oh i didnt declare that id worked with this brand months ago when uploading an instagram picture wearing a jumper id bought
1020,1,so trump has just called china out on twitterhow wonderful #wereallgoingtodie
1031,1,check out this really interesting article
1036,1,brexit plan legalise cannabis and suddenly all the sticking points melt away
1039,1,just listened to the option on the bbc couch to k app slightly disappointed she didnt promise me cake if i kept running
1041,1,mike ashley made me do it
1046,1,thanks for disrupting your narrative continuity with commercial break previews #spoileralert
1055,1,ha jokes on you jerks at im going to buy both shirts and youll never have a winner for your precious 10 bet
1059,1,i like to think #trump actually thinks they are called #hamberders #mcdonaldtrump
1062,1,is anyone else reminded of the ring by breaking amish
1068,1,#ludumdare compo makes me wonder if i missed my calling as a flagellant
1080,1,for the record i still like the carl crawford signing #teamtheo
1098,1,ugh im so bored maybe ill get pregnant
1107,1,oh boy i hope life keeps fucking me in the ass that would be magic
1110,1,if you vote tomorrow ill buy you an ice cream
1113,1,saw two black cats within minutes of each other yesterday and today is friday the th sweet
1118,1,cults in plant city regulars at parksdale strawberry farmers jeeps people who actually like krystal burger ers and ers walden lake residents
1123,1,#roxannepallett ryan cuts his steak in half and roxanne pallett accuses him of stabbing her #cbb
1128,1,best place in the world im telling you
1137,1,have you tried drinking alcohol or cigarettes sarcastic
1141,1,and my folks said i would never amount to anything
1145,1,loudwire is fucking aids
1147,1,#hownottodoptengagement when offering compensation make it a surprise dont let your #ptpartners know compensation will be offered until the end of your projectmeeting and make sure to ask everyone what amount theyd like while in the presence of other #pts
1154,1,oooh you offered too much heres some points off for you twats #fourinabed
1158,1,how do you think you did on the midterm
1163,1,brockhampton should release a watch
1165,1,years with mercedes then off to finish career at ferrari tick all the boxes
1169,1,im confused how toys r us always has their lights on still is this the real reason they couldnt afford to stay in business not knowing when to turn out the lights im just saying running those lights months later cant be cheap
1176,1,i want to quit everything and just watch tv
1184,1,please dont eat soup in front of me is a totally valid thing to say to a person that you love
1189,1,am i a fucking car magnet or something i dare to go faster than mihr hit me gt_lt #stupidfuckingcars
1200,1,today was a very special day for the first time ever s #recsys showed me a job ad that was actually relevant still recovering from the shock
1211,1,jurassic world trailer at am never have i been so grateful to have sleep problems
1214,1,i submitted a support ticket to years ago that finally got closed today thanks for the stunning service
1218,1,who needs sleep anyway
1221,1,so the #transmountain gets canceled basically and notley throws a hissy fit just like trump and pulls out of carbon plan wow what a good day for canada and alberta #cdnpoli #leadonclimate
1224,1,heinz ketchup pasty cloying distracting like cooking spackle it covers up whatever culinary atrocities youve committed #adriff
1226,1,#thelieswealltellourselves i will stop playing a good game and go to bed
1229,1,if you voluntarily use light themes for anything then youre going to be blind by
1232,1,shes such a credit to you you must be so proud
1240,1,youre too ornate to have
1244,1,i think literally anyone can be in smash now after that announcement so look out for the other four dlc announcements of crash goku ronald mcdonald and neville longbottom in the future #smashbrosultimate #persona5
1245,1,life is good im still alive thanks be to horus
1253,1,the beard is actually a turn on
1256,1,someone teach me how to be creative
1261,1,ive been known to put stuff off but at this point has left himself a little more than hrs to take everyones guns #obama #potus
1266,1,glad the president to be is watching snl instead of you know learning about how to be a president
1269,1,anthony senecal isnt that a juice more like a douche i think
1273,1,today i am basically with the back of a year old which pretty much puts me at 
1277,1,slept in jeans last night theres no telling what i might do next
1282,1,wow arsenal making me ludogoret putting that bet on now #ars #championsleague #arslud
1286,1,very very funny indeed
1294,1,the best part of working as a freelance writer is the complete lack of positive reinforcement and only having people contact you when they want you to do something or want to tell you that you did something wrong 
1297,1, ray perryman a great source
1301,1,i love letting anxiety rule my life 
1305,1,guess they are not rich enough to get their precious cars in a garage
1309,1,apparently the morris dancers are going to train english football fans how to defend themselves and attack russian football hooligans
1317,1,show me the titties on a macadamia nut
1321,1,hmm i wonder why this year old entry level position has not been filled yet truly a mystery for the ages1 #gamedev #developers #gamedevelopers #jobhunt #pleasestop
1339,1,#onmyoji# ive got a new shikigami kamaitachinot bad not bad at all
1343,1,hope it remains this way for the next week
1349,1,hermbe was a good dog
1351,1,transposadaism is the only way
1363,1,are neymars bones made out of glass #bramex
1367,1,paula deen probably make some good food she could cook for me if she needs a new job
1370,1,might f around and name my child oosthuizen
1379,1,imagine if my upstairs neighbors werent constantly rolling things back and forth across their floor for hours every single night wild
1386,1,long overdue pullout thats trumps nickname for eric
1389,1,congrats to the sr boys basketball team on a fantastic season tough loss today against a good squad were proud of you #sjabasketball
1393,1,the back seat is the worst place for #manspreading perps get ready for my warm leg and giant bag against yours rando you may enjoy it
1396,1,omg yeah haha #relatable follow renee for more relatable tweets
1400,1,the polar express is the scariest horror movie
1403,1,whoever came up with the skip intro button on netflix deserves to be the new potus he will guide us into the future hes already in
1413,1,the road tastes like wintergreen 
1417,1,cant wait to get the soulja boy gaming console tomorrow 
1420,1,you think jimmy johns will deliver to my graduation ceremony im starvin
1424,1,dr pepper in europe has sucralose added nothing is sacred
1428,1,lol remember when summer vacation was for stressfree rest and relaxation
1432,1,just do it in some parking lot somewhere we all want to hear about what a great job you are doing while we wait to get paid
1435,1,i got nothing for april fools so heres some old renders of my earliest d creations from trust me im a good d artist now #art #aprilfools2018
1439,1,buffalo womens march is cancelled due to weather i cant help thinking about the tens of thousands of people who would show up for a buffalo bills game in this weather snowflakes indeed
1442,1,yep thats another completely authentic review from a happy customer cc
1446,1,i miss the old kanye
1457,1,he didnt cave the wall is being built right now #trumpcaved
1459,1,gee only the right of center amp left of center care guess nobody cares f your terrible bought lying illegitimate candidate #neverhillary
1462,1,nothings official yet but i might be the new mrs bezos
1467,1,not sure if im watching the new episode of silicon valley or googles #io conference
1469,1,once again my mavs victorious against those bulls have a nice trip home neil and stacey beep beep
1474,1,i think that stupid people were put on this earth to test my anger management skills #sarcastweet
1483,1,well at least theyll have strong bones big dairy is about to flood americas school lunches with milk bloomberg businessweek
1495,1,sweet i finally get to take a nap
1499,1,the worst part about quitting cigarettes is running into people you went to high school with at a vape shop
1502,1,so men cant be virgins aaight then
1506,1,if youve never seen the tremor movies we cant be friends
1511,1,frenching is going well except for when i get caught out forgetting a word and all that comes to mind is korean thanks brain thats real helpful
1514,1,#nhs crying out for #blood #donors but my nearest #available #appointment is #april #bloodmatters #blooddonor
1519,1,do all your drivers take a course on how to #tailgate
1530,1,im considering banning the word brexit from my twitter timeline im just concerned there wont be much left but planes and cats hang on what am i waiting for
1533,1,great job of failing to deliver every parcel that heads to our new flat excellent work on that
1541,1,mmm milk from an abandoned bowl of cheerios in my coffee thanks kids
1546,1,staring at the contents of your fridge but never deciding what to eat is a cool way to diet
1549,1,thats milliband fucked then #ttoi
1552,1,oh goody another feckin royal
1560,1,cut my finger making cheese on toast #lifegoals
1562,1,all thats missing now is the i love beer defence
1565,1,what a night of fights #ufc200
1572,1,look at this awesome product ive just brought cool huh
1574,1,what if the other dogs pick on her what if she thinks she has been abandoned
1577,1,oh boy psychology and english literature is my double threat im applying that jung all over my texts boi
1583,1,why pay to get into ministry when you can witness it live on everybodys snapchat stories
1587,1,self care is drinking a mountain dew code red even though it makes you look like a middle schooler
1590,1,thrush and a period what a lucky vagina
1593,1,days until christmas everyone
1598,1,i love how the prof before our class doesnt answer questions in class so always has a huge line at the end that drags into our class time
1602,1,rather than go shopping in york were off shopping in wakefield as the centre is cheap tourist free and pretty dead even the queues in primark are nonexistent were the real geniuses here
1609,1,looked at about a dozen indyref2 tweets and now i wish i was dead so im real excited about the rest of
1613,1,ive been accused by a doctor of comfort eating which is bullsht by the way amp told if i lose weight the anxiety struggles ive battled for years will all just go away thanks for making me feel about million times worse than before doc
1616,1,is sampl the prison version of snl
1628,1,if you eat room temperature apples i dont want to know you
1641,1,oh great grass pollen rain and storms all the things that make my hayfever oh so enjoyable
1645,1,im so glad the clocks just went back i have this whole extra hour of insomnia to play with
1655,1,im not religious enough lol
1658,1,i guess americans think its ethical to just let people die when they cant afford healthcare because healthcare is not a right ok
1662,1,do people put crazy loud music on at flat parties so they dont have to speak to each other
1664,1,that was amazing #usmnt
1668,1,throat clearing isnt necessary #social_media
1673,1,palace are simply awesome at getting deals done with a couple of hours left too so no worries #cpfc
1675,1,im sure there will be a rigorous investigation that will satisfy trump there was no wrongdoing just like there was with kavanaugh innocent until not bothering to prove otherwise
1684,1,spent all day waiting for an amazon delivery before pm only to be told at 05 that it was undeliverable and will arrive tomorrow real helpful timing there 
1688,1,thank for being so entertaining at the edinburgh signings you did not disappoint i made my flight so will have plenty time to read
1692,1,#aviosgoal im saving avios for fun
1696,1,back ready to take another l
1702,1,shoutouts to group projects they taught me that no matter what the setting social or work ill definitely be doing all of the fucking work anyway
1705,1,well shit someone broke into our car last night stuff was thrown everywhere no idea what was stolen great start to the day
1709,1,#joinin left with non working sanitation over the chrimbo hols and for the forseeable future thanks to my caring sharing housing association singleelderly infirm merry christmas
1713,1,publicity whores
1724,1,ive spent over an hour trying to decide which font to use for a poster so i think its fair to say im making some pretty valuable contributions to science today
1729,1,i go to the dentist so i dont have to go to the store and buy a toothbrush #freetoothbrushs
1745,1,oh yay no romaine lettuce because e coli no ground beef because salmonella what century are we living in dont mind meover here eating my taco salad sans lettuce and beef counting down the days until #selfsustaining
1749,1,i see no reason why you would need to increase funding for higher ed in the humanities or erm wouldntorwait is that a double negative how do these work again umanyway take english classes to practice logical analysis and persuasive writing #stfxenglish #stfx
1751,1,dont be too hard on them they havent been relevant since and could really use the money
1752,1,ide love to meet danny dyer one day shake his hand ask his opinion on cheese with fish and shout cunt as loud as possible in his ear
1756,1,really love being told at work that i essentially might not be kept on because of not detagging stuff properly from someone who doesnt decide whos kept on good selfesteem boost
1764,1,clearly all my issues stem from that one time it took you minutes to respond to my desperate crying it ruined my life
1770,1,dont know who you are but you sound very stupid yours happy trot
1775,1,course not dude overwatch are inclusive as hell
1783,1,have been in colder saunas than a train #northernfail
1787,1,another shoutout to for their wifi service my emails may even load by the time i reach my destination in hrs only a mere for the privilege of waiting makes my figure rail ticket even more of a bargain i remain naively optimistic for improvement
1794,1,dear opponents of a second referendum you neednt be scared the only way youll lose is if the will of the people is to remain in europe will of the people you know like you constantly bang on about
1799,1,wow not sleeping at least once or twice a week is gr8 love it feels so good
1809,1,love waking up looking like quasimodo #thebellsesmeralda
1815,1,today a racist narcissistic psychopath becomes leader of the most powerful nation on earth what could possibly go wrong
1817,1,pogba recognised for his efforts of getting mourinho sacked by getting into the pfa team of the year glad they rewarded him for his efforts #pfaawards
1819,1,please can someone explain tome how a facial wash can be sonic will it hum or make noises at me seems misleading maybe they should advertise it on the side of a bus
1821,1,nice profile pic i like it
1824,1,romo wouldve blocked that kick
1827,1,going well for you isnt it lance
1835,1,if bogeys are fresh it is probably nose goblins that gove assures us will not be in shortages cant wait
1839,1,i dont think tinder is the place to find someone thanks julie ill look forward to your alternative suggestions
1852,1,her other credentials include bartending and getting a handmedown tv show in the usa #keepingitreal #truecolorsfinallyshow
1856,1,wee dunt wan forayners cumin over ere telling us wat to do tell em donald
1867,1,seriously do people just read an intro to econ textbook and think this is what academic economists do
1871,1,ive had the sort of day where lying in bed in my dirty work scrubs eating dry frosties from the box seems like a legitimate life choice
1875,1,yes by all means incite more white supremacist violence
1879,1,and another dpd parcel delivered but not nowhere to be seen top job
1885,1,years in and my boyfriend can independently buy the right tampons i could probably train a pigeon to tap dance next
1892,1,sometimes i feel maths is the only place in this world that really accepts me numbers are my life
1896,1,update 39c in leicester apparently #hottestdayoftheyear
1899,1,im more interested in the puppy bowl than i am in the super bowl
1904,1,gotta love companies that use delivery services who still give you a window of hours for their delivery not at all infuriating
1906,1,quick put out the amazon rainforest fire so we can get back to destroying it for animal agriculture instead the fire got your attention now act like you really care go vegan #amazonfire #amazonrainforestfire #amazonrainforest #govegan
1909,1,wireless isnt messing around this year what a lineup
1912,1,how could you defile a defenseless toilet like that youre supposed to shit in the sink like this fine individual certainly does
1918,1,you could certainly try but it would be hard to strip her of the hon deg she doesnt actually have
1925,1,how tf am i supposed to grocery shop now
1934,1,impressive crowd at villa tonight #sarcastweet
1938,1,is this needed its only been years why not come up with something more original or is that too risky
1956,1,good dont need them reproducing less is more
1976,1,thomas cook customers suitably bronzed complaining about their inconvenience live from the canary islands woe is me im glad they get the news coverage #thomascook
1980,1,the government has really lost its mandate to govern no doubt it will call for a vote of confidence in itself how daft have we become
1984,1,i love when high profile journalists and influencers repeat their tweets but they dont think the original did well enough its always written as i just found out despite being posted a week ago originally
1993,1,in the spirit of #gbbo ive bought some french fancies #tastetest
1998,1,left work at not gonna get home until at least pm cheers gr8 one tonight
2010,1,i love peasant juice
2030,1,so did marie curie invent smokey eye then #snapchat #internationalwomensday
2034,1,hopefully the amount ive tweeted about some racist comedian id never heard of a week ago has stopped global warming and brought down the trump administration
2038,1,dont you just love spending sunday evenings watching an inspector calls for english and learning geography case studies
2044,1,love it when people finish a sentence with sad its so sad sad
2048,1,aye hes the only one who vaguely resembles a decent human being
2057,1,real niggas sip a double dose of nyquil smoke some indica in a spliff then stay up til the sun rise
2060,1,i just love playing solo heal for a dps team and getting yelled at by a hanzo to heal them the whole match love it
2075,1,loving the repeats of technical fault on every #skyq channel this afternoon truly gripping television
2077,1,hour drive back from london was brilliant out of
2084,1,does it have a time machine rt 2 as you might know we are due to have a new million school to be completed by october the school the la and our buildings team have been working hard to design the school and agree on the schools features
2088,1,hello friday ive been waiting for you all week thanks for getting here so quickly and please dont drag coz i need a liein moz
2090,1,hang on daniel believes hes invented a soluble powder that cures hangovers can you invent crushed up berocca #theapprentice
2101,1,fully embracing my dad bod
2105,1,whomstdve else likes criticizing socialism using countries with a private economy
2109,1,for some reason my #fitbit goes into sleep mode whenever i chopbecause apparently vigorously chopping ginger means im sleeping
2114,1,first tweet kinda nervous
2126,1,can you believe no one took pictures
2130,1,my plan today is to try to convince as many people as possible that jason takes manhattan is a cinematic masterpiece
2134,1,haah yeah they are really helpful and not lazy at job centres
2138,1,are all the england players top heavy because they seem to be falling over an awful lot #worldcup
2142,1,well i know what im wearing for the school run tomorrow #dualipa #ritaora
2146,1,judging by the microsoft conference so far it looks like ill be spending the rest of the year having to talk to my xbox #e3
2150,1,now that im stuck back in mp and jobless i just think its really rude of my mom to not quit her job so she can keep me entertained during the day 
2161,1,what day do you people do saturday delivery wl0816451
2163,1,you may think youre having a good day but i just got a free finger of fudge so who is the real winner #shellgoapp
2172,1,im actually the fastest texter ever
2183,1,i placed an order over days ago on a 10 day dispatch and my tracking is still showing that it hasnt been dispatched yet when can i expect delivery im starting to think my baby will arrive before the order will order number 
2186,1,oh dead rodent in bathroom thanks cats
2192,1,the conservative and unionist party welcomes you to its liveaction medley of lord of the flies and atlas shrugged great concession rates for seniors theatre not accessible toilets blocked
2200,1,alrighty then all immigrants are evil gang members and real coughwhitecough americans are the only ones whose dreams count cool #sotu
2203,1,beautiful day
2214,1,its green definitely green
2224,1,got to love #htafc twitter
2227,1,can the two imbeciles amp please just stop with all the hardline talk amp act like proper adults for just a few hours all your brexit rhetoric is tanking the pound and costing me money on kickstarters that end today 2
2231,1,is grey in my beard one of olays seven signs of ageing
2235,1,i practice self control by going to target and not buying anything
2238,1,brainlets watching bo1s nrg have a sustainable playstyle #berlinmajor
2243,1,do people who take ages to reply deserve human rights
2257,1,absolutely love having a supervisor for my diss that doesnt email me back amp hasnt contacted me since december mint
2263,1,head so hurty i blame and im so straight laced usually
2273,1,update we are hours away from the first day of class and i have of my classes on canvas a strong start to senior year
2277,1,is redknapp really giving advice on how to hit the perfect volley
2279,1,come on you know you want to call me and make me k richer my phone bill has got to be at least half that from constantly entering the cash call
2286,1,tottenham wembley curse over nothing can possibly go wrong now #coys
2289,1,we already have a parenting solution though its called parenting happy to chat but were lacking in drama im afraid
2295,1, and the scheme isnt even fully open yet anyone think that processing million applications by the end of next year is going to work but wait what could possibly go wrong
2303,1,is there anything worse than being woken up by horny cats yowling in the garden
2307,1,from derby cancelled with this info coming at not good min wait for the next train to spondon could have made alternative arrangements with more notice faultless service on the replacement buses and now back to normality i see
2316,1,ahhhh my favorite pastime watching logan and crying
2318,1,im overjoyed about the fact that next door have put the trampoline back up and they allow their children to scream on it from am every sunday morning can you sense sarcasm
2324,1,if knowledge exchange were a religion its two sacred texts would be the higher education business and community interaction survey and the annual state of the relationship report from great endorsement from in todays playbook
2347,1,woke up with the worst headache this flight is gonna be great
2361,1,literally cant watch this #imaceleb
2365,1,obviously a cool geezer
2372,1,asu walkers staring at phone cant walk straight never look before they move also asu walkers oh my god i cant believe that bike hit me wtf i didnt even do anything11
2385,1,i did not grow out of it i just became sedentary because i was sick and when i became active again it came back and brought exertional migraines with it now its even more dangerous to do my favorite outdoor sport of hiking thanks years of doctors blowing me off
2400,1,ah yes i totally remember when dora punched me in the face and said ill never be an explorer because i have a dick
2407,1,my girlfriend just googled cute cats to get herself in a better mood i guess its just that simple
2415,1,#protip drink bleach to level up your white privilege
2418,1,does switzerland have a common language now
2428,1,you know what i really hate #sarcasm
2430,1,first day of fall my ass welcome to texas home of the second summer
2439,1,thanks for the offer of a cot at the airport when my connection was missed and im stuck overnight and for not covering a rental car when i told you i need to make it home for a funeral
2442,1,its this losers birthday and that sucks for her
2456,1,sooo im guessing partial season ticket holders dont get a scarf this year thanks for the info 
